"AMBIENT AIR QUALITY MONITORING DATA FOR THE YEAR 2019
(Manual monitoring under National Ambient Air Quality Monitoring Programme)",Column2,Column3,Column4,Column5,Column6,Column7
Sulphur Dioxide (SO2):,,,,,,
State / UT,City/ Town/ Village,Location,No. of monitoring days,SO2  Concentration in æg/m3,,
,,,,Minimum (24-hourly average),Maximum (24-hourly average),Annual Average
Andhra Pradesh,Anantapur,Kamala Nagar,105,4,15,6
Andhra Pradesh,,APIIC Zonl office industrial estate,106,4,10,5
Andhra Pradesh,,"Cancer Unit. G.G.Hsharada Nagar, JNTU
Road",108,4,9,5
Andhra Pradesh,,"D.No.6/5/545, Ram Nagar Colony",108,4,12,5
Andhra Pradesh,Chitoor,GNC Toll Gate Tirumala,107,2,19,5
Andhra Pradesh,,"Near Nutrine Confectionery, Palamaner
Road",107,4,9,5
Andhra Pradesh,,"O/O Mines and Geology, Old Collector
Office, Greamspet",104,4,6,5
Andhra Pradesh,,"Sankar Foundary, Industrial Estate, Adjacent
of DIC Office",106,4,7,5
Andhra Pradesh,,"Rangachari street, Shanthapeta.",92,4,6,5
Andhra Pradesh,Eluru,Ashram Diagnostic Centre,108,4,6,5
Andhra Pradesh,,District Headquarters hospital,108,4,6,5
Andhra Pradesh,,"M/s Laxmi Propylene Ltd., Plot.No. 25,
Industrial Park, Satrampadu",108,4,6,5
Andhra Pradesh,,"Somalingeswara nilayam D.N.7B-18-5, Thooru Veedhi, Eastern street,
Paidichintaadu",108,4,6,5
Andhra Pradesh,Guntur,"Near Hindu College, Market Road",100,4,5,5
Andhra Pradesh,,"A.P. Pollution Control Board, D.No.4-5-
4/5C,4/3, Navabharath nagar, Ring Road",101,4,6,5
Andhra Pradesh,,"Distirct Industries Center office Buiding
Autonagar",100,4,5,5
Andhra Pradesh,,Government General hospital,101,4,6,5
Andhra Pradesh,Kadapa,"Near ICL Industries, Yerragunta, YSR",108,4,19,6
Andhra Pradesh,,"Devi Diabetes & Hormone Centre, 7 Roads",106,4,18,5
Andhra Pradesh,,"DIC Office,Kadapa",108,4,19,5
Andhra Pradesh,,Rajiv Gandhi Institute of Medical Sciences,108,4,7,5
Andhra Pradesh,,Municipal Primary School,107,4,14,5
Andhra Pradesh,Kakinada,Office Building Ramanayyapeta,102,4,13,8
Andhra Pradesh,,"Gram Panchayathi building, Suryaraopeta",105,4,13,8
Andhra Pradesh,,"MEE Seva / MEPMA Office, Sailipeta",105,4,13,9
Andhra Pradesh,,"Petro Chemical Engineering Block, JNTU ,
Pithapuram Road",106,4,12,8
Andhra Pradesh,Kurnool,"Mourya Inn, Krishna Nagar",108,4,11,5
Andhra Pradesh,,"APIIC Building Industrial estate, Kallur at IDA
Bobbili Growth Center",107,4,13,5
Andhra Pradesh,,Rajvihar Circle,108,4,14,6
Andhra Pradesh,,"Pump House, Venkataramana Colony",108,4,12,5
Andhra Pradesh,Nellore,"Venkatareddy Nagar, Vedayapalem",107,4,6,5
Andhra Pradesh,,"D. No.15-471, James Garden, Venkata
Ramapuram, Nellore, SPSR Nellore District",107,4,6,5
Andhra Pradesh,,Chandramouli nagar,107,4,6,5
Andhra Pradesh,,"Dr.P.V. Rama chandra Reddy Hospital,
Brindavnam",107,4,5,5
Andhra Pradesh,Ongole,Near Court Center,107,4,6,5
Andhra Pradesh,,"APIIC, Administrative Office, Growth Centre,
Gundlapalli",104,4,5,5
Andhra Pradesh,,Ongole Municipal Corporation,106,4,6,5
Andhra Pradesh,,Prakasam Milk Product Compay,105,4,6,5
Andhra Pradesh,Rajahmundry/ Rajamahendrava ram,"Staff Clud Building, A.P. Paper Mill",98,5,14,9
Andhra Pradesh,,"GAIL Administrative Office, A.V. Apparao
Road",104,5,15,8
Andhra Pradesh,,"MCH Block ,District Hospital, Near Central
Prison, Lalacheruvu Road",105,4,12,8
Andhra Pradesh,,"APEPDCL, Circle Office Godavari Gattu",97,4,16,8
Andhra Pradesh,Srikakulam,"SAMKRG Pistons Quarters Bulding, Near
IDA, Pydibhimavaram",96,6,12,8
Andhra Pradesh,,District cooparative office at SKLM Old,106,5,11,8
Andhra Pradesh,,Bridge,,,,
Andhra Pradesh,,"APIIC, Kushalapuram",95,5,15,8
Andhra Pradesh,,"Muncipal corporation Office, Old Bustand",107,5,12,8
Andhra Pradesh,Tirupati,"Regional Science Centre, Chittoor Bypass",106,4,6,5
Andhra Pradesh,,"Municipal Office, Tilak Road",107,4,8,5
Andhra Pradesh,,"APPCB-Regional Office, 1st Floor, APSFC
Building, NT road",100,4,6,5
Andhra Pradesh,,"Sri Venkateswara Guest House (TTD SV Rest
House), Near APSRTC Bus Stand",108,4,8,5
Andhra Pradesh,Vijaywada,"NTR Veterinary college of sciences,
Gannavaram",107,4,11,5
Andhra Pradesh,,"VR Siddhartha Engineering college , Kanuru",107,4,6,5
Andhra Pradesh,,"APIIC, IALA, IDA, Kondaplli",106,4,6,5
Andhra Pradesh,,Benz Circle,107,4,7,5
Andhra Pradesh,,Autonagar,108,4,7,5
Andhra Pradesh,,Police Control Room,89,5,6,5
